scenario,description,prediction,category
trimmed_siphon_A_1.mp4,A bundle of lit matchsticks is placed in a bowl of red liquid. A glass jar gets lowered and covers the matchsticks.,the matchsticks will go out and create a siphon effecgt that suck the red liquid from the bowl inside the jar.,Fluid Dynamics
trimmed_light_on_statue_C_1.mp4,The video shows a small statue made of porcelain illuminated by a spotlight on a rotating base. The spotlight casts a large shadow of the statue onto the wall behind it.,The statue continues rotating causing the shadow to change its position and potentially its appearance on the wall.,Optics
trimmed_mirror_teapot_rotate_A_1.mp4,A teapot on a rotating display base that rotates clockwise in front of a mirror reflecting the teapot's image.,The teapot continues to rotate with its reflection in the mirror mirroring the movement.,Optics
trimmed_light_on_statue_A_1.mp4,The video shows a small statue made of porcelain illuminated by a spotlight on a rotating black base that rotates clockwise. The spotlight casts a large shadow of the statue onto the wall behind it.,The statue continues rotating causing the shadow to change its position and potentially its appearance on the wall.,Optics
trimmed_juice_in_water_B_1.mp4,A glass beverage dispenser with a grapefruit dispensing into a glass that has some water inside.,The glass will fill with the mix of water and juice turning light pink.,Fluid Dynamics
trimmed_ball_hits_nothing_C_1.mp4,A light-colored wooden coffee table with a few small objects on it including a tennis ball and a smaller orange ball. An orange tennis ball rolls out of a black pipe that is sitting on the table.,The orange tennis ball rolls off the table without colliding with the other balls on the table.,Solid Mechanics
trimmed_mug_breaks_C_1.mp4,A yellow mug hangs from a grabber tool in front of a white projection screen and resting on a wooden deck with a concrete brick positioned beneath it. The grabber releases the mug.,The mug falls onto the concrete brick below and breaks.,Solid Mechanics
trimmed_duck_falls_in_box_C_1.mp4,A yellow rubber ducky is suspended above an open dark green fabric box on a wooden table. The duck is then released.,The rubber ducky will be dropped into the box.,Solid Mechanics
trimmed_light_on_mug_C_1.mp4,A yellow mug is placed on a rotating turntable that rotates clockwise illuminated by a spotlight casting a shadow on the wall behind it.,The mug and its shadow move in a circular motion.,Optics
trimmed_ball_rolls_on_glass_C_1.mp4,A piece of clear glass resting on the edge of a light-colored wooden table against a plain white wall. A blue tennis ball rolls on the wooden table and towards the glass,The ball will continue to roll on the glass.,Solid Mechanics
trimmed_glass_stays_same_C_1.mp4,A glass beverage dispenser filled with a bright red liquid is set on a wicker base. Under the dispenser there is a glass half filled with red liquid.,Nothing will happen since the dispenser is not dispensing liquid.,Fluid Dynamics
trimmed_rolling_reflection_C_1.mp4,A 30lb kettlebell resting on a wooden table next to a mirror. A tennis ball rolls towards the kettlebell.,The reflection of the ball will appear in the mirror as it moves closer to the kettlebell.,Optics
trimmed_teapot_rotates_C_1.mp4,A teapot is placed on a rotating display that rotates clockwise.,the teapot rotates in a circular motion.,Solid Mechanics
